actor,movie_or_TV_name
Stephen Macht,Alexander Parlee: As Long as You Need Me
Stephen Macht,Suits
Stephen Macht,Doubt
Stephen Macht,The Mentalist
Stephen Macht,Atlas Shrugged II: The Strike
Stephen Macht,Femme Fatales
Stephen Macht,Castle
Stephen Macht,General Hospital
Stephen Macht,The Legend of Bloody Mary
Stephen Macht,State of Mind
Stephen Macht,The Wedding Bells
Stephen Macht,Boomtown
Stephen Macht,DC 9/11: Time of Crisis
Stephen Macht,Boston Public
Stephen Macht,Outside the Law
Stephen Macht,Jack & Jill
Stephen Macht,Gideon's Crossing
Stephen Macht,Agent Red
Stephen Macht,The Others
Stephen Macht,Chicken Soup for the Soul
Stephen Macht,Final Voyage
Stephen Macht,Swallows
Stephen Macht,Sliders
Stephen Macht,The Practice
Stephen Macht,Watchers 4
Stephen Macht,Millennium
Stephen Macht,"Walker, Texas Ranger"
Stephen Macht,JAG
Stephen Macht,One Hot Summer Night
Stephen Macht,Touch Me
Stephen Macht,Tarzan: The Epic Adventures
Stephen Macht,Melrose Place
Stephen Macht,Zork: Nemesis
Marc Worden,Red Dead Redemption II
James Sloyan,Ed
Stephen Macht,The Legend of Galgameth
Stephen Macht,One Life to Live
Stephen Macht,"Murder, She Wrote"
Stephen Macht,Babylon 5
Stephen Macht,Kung Fu: The Legend Continues
Stephen Macht,Siringo
Stephen Macht,Trancers 5: Sudden Deth
Stephen Macht,Moment of Truth: Cult Rescue
Stephen Macht,Viper
Stephen Macht,Trancers 4: Jack of Swords
Stephen Macht,Moment of Truth: A Child Too Many
Stephen Macht,Star Trek: Deep Space Nine
Stephen Macht,Highlander
Stephen Macht,Trancers III
Stephen Macht,Amityville 1992: It's About Time
Stephen Macht,Memories of Midnight
Stephen Macht,Graveyard Shift
Stephen Macht,Fear Stalk
Stephen Macht,Blind Witness
Stephen Macht,My Boyfriend's Back
Stephen Macht,Columbo
Stephen Macht,No Blame
Stephen Macht,A Friendship in Vienna
Stephen Macht,Cagney & Lacey
Stephen Macht,Strange Voices
Stephen Macht,The Monster Squad
Stephen Macht,CBS Schoolbreak Special
Stephen Macht,Hotel
Stephen Macht,The Return of Mickey Spillane's Mike Hammer
Stephen Macht,Fortune Dane
Stephen Macht,Blacke's Magic
Stephen Macht,Alfred Hitchcock Presents
Stephen Macht,Scarecrow and Mrs. King
Stephen Macht,Hill Street Blues
Stephen Macht,George Washington
Stephen Macht,Flight 90: Disaster on the Potomac
Stephen Macht,Samson and Delilah
Stephen Macht,A Caribbean Mystery
Stephen Macht,The Last Winter
Stephen Macht,Knots Landing
Stephen Macht,Killjoy
Stephen Macht,American Dream
Stephen Macht,"Enola Gay: The Men, the Mission, the Atomic Bomb"
Stephen Macht,Galaxina
Stephen Macht,The Mountain Men
Stephen Macht,Nightwing
Stephen Macht,The Immigrants
Stephen Macht,Hunters of the Reef
Stephen Macht,Loose Change
Stephen Macht,Ring of Passion
Stephen Macht,The Choirboys
Stephen Macht,Big Hawaii
Stephen Macht,Kingston: Confidential
Marc Worden,Lego DC Super-Villains
Marc Worden,Call of Duty: Black Ops 4
Marc Worden,Agents of Mayhem
Marc Worden,"Be Cool, Scooby-Doo!"
Marc Worden,Lego Star Wars: The Force Awakens
Marc Worden,StarCraft II: Legacy of the Void
Marc Worden,Skylanders: SuperChargers
Marc Worden,Batman: Arkham Knight
Marc Worden,Infinite Crisis
Marc Worden,Final Fantasy Type-0 HD
Marc Worden,Lego Batman 3: Beyond Gotham
Marc Worden,Skylanders: Trap Team
Marc Worden,Cosmos: A Spacetime Odyssey
Marc Worden,Diablo III: Reaper of Souls
Marc Worden,Hearthstone: Heroes of Warcraft
Marc Worden,Skylanders: SWAP Force
Marc Worden,Grand Theft Auto V
Marc Worden,Marvel Heroes
Marc Worden,Riff Rockit
Marc Worden,God of War: Ascension
Marc Worden,Malibu Country
Marc Worden,Call of Duty: Black Ops II
Marc Worden,World of Warcraft: Mists of Pandaria
Marc Worden,Diablo III
Marc Worden,CSI: NY
Marc Worden,Final Fantasy XIII-2
Marc Worden,Batman: The Brave and the Bold
Marc Worden,Dead Space 2
Marc Worden,The Mentalist
Marc Worden,Vanquish
Marc Worden,H.A.W.X 2
Marc Worden,10 Years Later
Marc Worden,Supreme Commander 2
